Feature,Group,Precision,Recall,F1,Accuracy
Sex,0.0,0.621,0.153,0.246,0.861
Sex,1.0,0.591,0.113,0.189,0.836
Age,1.0,0.0,0.0,0.0,0.984
Age,2.0,0.0,0.0,0.0,0.97
Age,3.0,1.0,0.014,0.027,0.967
Age,4.0,0.556,0.072,0.127,0.951
Age,5.0,0.333,0.046,0.08,0.923
Age,6.0,0.453,0.091,0.151,0.893
Age,7.0,0.598,0.144,0.233,0.871
Age,8.0,0.653,0.197,0.302,0.859
Age,9.0,0.629,0.166,0.263,0.813
Age,10.0,0.628,0.159,0.254,0.787
Age,11.0,0.631,0.136,0.223,0.781
Age,12.0,0.614,0.103,0.176,0.761
Age,13.0,0.5,0.05,0.09,0.791
